gene,arabi-defline
VigunL064500,Ribosomal protein S7p/S5e family protein
Vigun06g114400,"Protein of unknown function, DUF593"
VigunL029900,photosystem II reaction center protein G
Vigun06g017600,no annotation
Vigun03g062300,histone deacetylase 14
Vigun04g047200,methyltransferases
Vigun07g293400,Protein kinase superfamily protein
Vigun09g087500,no annotation
Vigun05g022300,LRR and NB-ARC domains-containing disease resistance protein
Vigun02g032700,3-ketoacyl-CoA synthase 6
Vigun03g315700,no annotation
Vigun02g069400,cofactor assembly of complex C
Vigun10g031900,Disease resistance protein (TIR-NBS-LRR class) family
Vigun09g189400,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun05g126200,Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Vigun04g084100,Ribonuclease inhibitor
Vigun01g074300,Protein kinase superfamily protein
Vigun04g112900,tubulin alpha-5
Vigun07g175900,zinc knuckle (CCHC-type) family protein
Vigun05g073100,Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein
VigunL019000,NADH dehydrogenase 5B
Vigun02g038500,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun06g089800,Protein of unknown function (DUF1191)
Vigun04g139500,disease resistance family protein / LRR family protein
Vigun08g095000,glycerol-3-phosphate acyltransferase 3
Vigun03g103600,Protein kinase superfamily protein
Vigun11g019700,NB-ARC domain-containing disease resistance protein
Vigun03g427500,Deoxyxylulose-5-phosphate synthase
Vigun01g014200,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun03g188500,no annotation
Vigun09g140800,no annotation
Vigun03g413400,no annotation
Vigun03g095400,FASCICLIN-like arabinogalactan-protein 12
Vigun09g271800,SAUR-like auxin-responsive protein family 
Vigun07g108100,DNAse I-like superfamily protein
Vigun03g338300,no annotation
Vigun07g051700,Ankyrin repeat family protein
Vigun08g210000,"nuclear factor Y, subunit B3"
Vigun02g180200,cation/H+ exchanger 18
Vigun05g194700,no annotation
Vigun08g133700,allergen-related
Vigun05g208500,phosphoenolpyruvate carboxylase 2
Vigun02g028400,no annotation
Vigun03g381900,no annotation
Vigun01g162800,xyloglucan endotransglucosylase/hydrolase 32
Vigun01g091200,PSF2
Vigun01g039000,beta glucosidase 42
Vigun07g011700,CCT motif family protein
Vigun07g151800,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun08g007900,DnaJ/Hsp40 cysteine-rich domain superfamily protein
Vigun02g186700,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun11g179900,xylulose kinase-1
Vigun04g119800,no annotation
Vigun08g096200,no annotation
Vigun03g164100,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related
Vigun01g050600,no annotation
Vigun09g135900,Acyl-CoA N-acyltransferases (NAT) superfamily protein
Vigun06g073300,josephin protein-related
Vigun08g046500,disease resistance family protein / LRR family protein
Vigun05g297900,RNAse THREE-like protein 1
Vigun11g009100,Calcium-dependent ARF-type GTPase activating protein family
Vigun10g036500,no annotation
Vigun05g252200,DNA repair (Rad51) family protein
Vigun03g002200,Transcription factor jumonji (jmjC) domain-containing protein
Vigun04g058600,no annotation
Vigun03g169600,PLAT/LH2 domain-containing lipoxygenase family protein
Vigun10g083600,receptor kinase 3
Vigun08g037400,Protein of unknown function (DUF1230)
Vigun07g140800,Protein of unknown function (DUF1645)
Vigun05g132500,xyloglucan endotransglucosylase/hydrolase 2
Vigun05g197600,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Vigun02g044700,Malectin/receptor-like protein kinase family protein
Vigun03g356100,Ypt/Rab-GAP domain of gyp1p superfamily protein
Vigun08g044500,early nodulin-like protein 15
Vigun08g200100,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun05g021300,NHL domain-containing protein
Vigun05g228900,Cyclin A3;1
Vigun07g267900,Protein kinase superfamily protein
Vigun10g152500,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun11g219200,Leucine-rich repeat protein kinase family protein
Vigun02g025700,tRNA arginine adenosine deaminase
Vigun09g168500,GRAS family transcription factor
Vigun01g016200,zinc ion binding
Vigun08g138500,no annotation
Vigun03g382300,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun10g004500,squamosa promoter binding protein-like 8
Vigun02g099800,growth-regulating factor 2
Vigun10g053900,NHL domain-containing protein
Vigun03g321000,armadillo repeat only 4
Vigun02g102800,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun10g110900,Leucine-rich repeat receptor-like protein kinase family protein
Vigun04g031800,ATP binding;nucleic acid binding;helicases
Vigun09g020300,phosphorylcholine cytidylyltransferase
Vigun10g176800,peptidase M20/M25/M40 family protein
Vigun06g155000,Immunoglobulin E-set superfamily protein
Vigun03g228100,no annotation
Vigun05g236400,bZIP transcription factor family protein
Vigun03g105600,no annotation
Vigun02g053600,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun04g114800,Acyl-CoA N-acyltransferases (NAT) superfamily protein
Vigun05g055800,WRKY DNA-binding protein 2
Vigun01g040200,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun04g147600,Heavy metal transport/detoxification superfamily protein 
Vigun01g044200,no annotation
Vigun05g148600,UDP-Glycosyltransferase superfamily protein
Vigun10g171200,disease resistance protein (TIR-NBS-LRR class)
Vigun01g036700,IQ-domain 11
Vigun05g034100,no annotation
Vigun08g052700,suppressor of npr1-1 constitutive 4
Vigun03g087000,Basic-leucine zipper (bZIP) transcription factor family protein
Vigun03g215500,BIG PETAL P
Vigun03g422600,Ribosomal protein S21e 
Vigun08g145300,"Protein of unknown function, DUF593"
Vigun11g189400,PLC-like phosphodiesterases superfamily protein
Vigun06g209100,"Zinc finger, RING-type;Transcription factor jumonji/aspartyl beta-hydroxylase"
Vigun03g255700,PLAC8 family protein
Vigun03g317000,Pectate lyase family protein
Vigun05g233800,no annotation
Vigun07g277800,GCIP-interacting family protein
Vigun03g430700,AWPM-19-like family protein
Vigun01g151700,DnaJ/Hsp40 cysteine-rich domain superfamily protein
Vigun02g072100,NB-ARC domain-containing disease resistance protein
Vigun07g009000,Integrase-type DNA-binding superfamily protein
Vigun03g409200,no annotation
Vigun06g197400,Protein kinase superfamily protein
Vigun02g047300,fructokinase-like 2
Vigun02g123500,no annotation
Vigun07g102100,"Protein of unknown function, DUF593"
Vigun01g223200,Protein of unknown function (DUF620)
Vigun08g150500,RAD-like 6
Vigun02g132700,SET domain-containing protein
Vigun09g000900,2-oxoglutarate-dependent dioxygenase family protein
Vigun03g103300,no annotation
Vigun07g084000,ATP binding microtubule motor family protein
Vigun07g189500,OPC-8:0 CoA ligase1
Vigun10g106300,"cytochrome P450, family 71, subfamily B, polypeptide 37"
VigunL029700,no annotation
Vigun02g168100,Flavin-binding monooxygenase family protein
Vigun03g014500,glycosyl hydrolase 9B1
Vigun07g049400,syntaxin  of plants 111
Vigun08g122900,Protein kinase superfamily protein
Vigun05g288600,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun03g067500,ribonucleotide reductase 1
Vigun03g151400,ribosomal protein L2
Vigun05g113400,no annotation
Vigun05g270800,Ypt/Rab-GAP domain of gyp1p superfamily protein
Vigun07g046400,Protein kinase family protein with ARM repeat domain
Vigun07g195800,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun08g104600,RING/U-box superfamily protein
VigunL066300,no annotation
Vigun02g075500,Serine/threonine-protein kinase WNK (With No Lysine)-related
Vigun04g152300,NAD(P)-binding Rossmann-fold superfamily protein
Vigun10g063300,no annotation
Vigun06g096000,F-box family protein
Vigun07g051600,Ankyrin repeat family protein
Vigun02g171300,YTH family protein
Vigun04g125800,Nucleic acid-binding proteins superfamily
Vigun03g001000,C2H2-like zinc finger protein
Vigun01g102200,hydroxyproline-rich glycoprotein family protein
Vigun08g024200,Plant protein of unknown function (DUF827)
Vigun10g189000,peptide deformylase 1A
Vigun11g164800,IBR domain-containing protein
Vigun10g040500,Cellulose-synthase-like C6
Vigun09g155600,serine carboxypeptidase-like 42
Vigun06g231900,F-box/RNI-like superfamily protein
Vigun06g053500,Stigma-specific Stig1 family protein
Vigun11g081600,no annotation
Vigun02g068100,Putative membrane lipoprotein
Vigun03g071500,no annotation
Vigun02g086000,UDP-glucosyl transferase 85A3
Vigun09g087600,Phox (PX) domain-containing protein
Vigun07g026500,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Vigun11g107600,Major facilitator superfamily protein
Vigun01g227500,Phosphoinositide-specific phospholipase C family protein
Vigun07g132600,germin-like protein 10
Vigun08g155300,Protein of unknown function (DUF620)
Vigun03g340900,plasmodesmata callose-binding protein 3
Vigun05g139300,receptor-like protein kinase-related family protein
Vigun09g027700,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun01g086400,ARM repeat superfamily protein
Vigun03g015700,no annotation
Vigun03g137500,Basic-leucine zipper (bZIP) transcription factor family protein
Vigun07g287900,3-ketoacyl-CoA synthase 19
Vigun06g056600,PLC-like phosphodiesterase family protein
Vigun10g200100,protein kinase family protein
Vigun09g035900,hydroxyproline-rich glycoprotein family protein
Vigun08g036500,"NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial"
Vigun09g153100,sigma factor E
Vigun07g076200,RNA-binding (RRM/RBD/RNP motifs) family protein
Vigun03g208500,no annotation
Vigun07g088200,glutathione S-transferase TAU 8
Vigun11g060000,Histone superfamily protein
Vigun06g177500,alpha-mannosidase 3
Vigun03g349100,Duplicated homeodomain-like superfamily protein
Vigun06g227800,Vacuolar iron transporter (VIT) family protein
Vigun01g006900,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun10g192400,Leucine-rich repeat family protein
Vigun08g026200,WUSCHEL related homeobox 4
Vigun01g084400,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun01g165600,UDP-glucosyl transferase 73C2
Vigun11g103200,Concanavalin A-like lectin protein kinase family protein
Vigun10g039900,Insulinase (Peptidase family M16) protein
Vigun10g157500,no annotation
Vigun09g184000,Pentatricopeptide repeat (PPR) superfamily protein
Vigun09g221700,no annotation
Vigun09g140200,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Vigun07g124800,RING/FYVE/PHD zinc finger superfamily protein
VigunL018700,no annotation
Vigun11g034300,DNA glycosylase superfamily protein
Vigun01g238500,Adenosylmethionine decarboxylase family protein
Vigun01g062400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun08g109200,vernalization5/VIN3-like
Vigun11g078200,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Vigun06g192300,Ribosomal protein L34
Vigun11g151800,RmlC-like cupins superfamily protein
Vigun05g181500,no annotation
Vigun05g112000,glutathione S-transferase TAU 8
Vigun05g049700,Pentatricopeptide repeat (PPR-like) superfamily protein
Vigun08g003100,calcium-dependent protein kinase 29
Vigun07g101600,no annotation
Vigun05g047100,Ran BP2/NZF zinc finger-like superfamily protein
Vigun11g051300,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
Vigun01g139600,PRA1 (Prenylated rab acceptor) family protein
Vigun10g028800,Sec23/Sec24 protein transport family protein
Vigun10g051500,Protein of unknown function (DUF668)
VigunL012400,no annotation
Vigun10g124700,NAD(P)-binding Rossmann-fold superfamily protein
Vigun05g073800,5\'-3\' exonuclease family protein
Vigun03g030600,galacturonic acid kinase
Vigun01g023000,MLP-like protein 34
Vigun02g107000,RHO guanyl-nucleotide exchange factor 14
Vigun10g064000,Disease resistance protein (TIR-NBS-LRR class) family
Vigun05g129900,no annotation
Vigun03g308900,alpha/beta-Hydrolases superfamily protein
Vigun06g084600,Peroxidase superfamily protein
Vigun01g004500,no annotation
Vigun03g124000,HVA22 homologue C
Vigun03g251400,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun04g129700,Cupredoxin superfamily protein
Vigun04g170900,no annotation
Vigun05g012600,heat shock protein 70
Vigun07g016200,SAUR-like auxin-responsive protein family 
Vigun10g081300,receptor like protein 9
Vigun11g025400,sulfotransferase 2A
VigunL061700,photosystem II reaction center protein H
Vigun02g027900,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun09g044800,WRKY family transcription factor
Vigun03g384700,sequence-specific DNA binding transcription factors;transcription regulators
Vigun03g322300,SOUL heme-binding family protein
Vigun06g157800,KNOX/ELK homeobox transcription factor
Vigun07g193900,pleiotropic drug resistance 11
Vigun09g142800,growth-regulating factor 7
Vigun05g126400,no annotation
Vigun05g288300,no annotation
Vigun08g182300,cation/H+ exchanger 4
Vigun08g051100,SET domain protein 14
Vigun02g016200,zinc finger protein 4
Vigun05g200900,receptor kinase 3
Vigun05g169400,regulatory particle triple-A ATPase 3
Vigun09g158900,wall-associated kinase 2
Vigun07g216700,no annotation
Vigun07g161800,no annotation
Vigun09g158500,no annotation
Vigun07g297300,no annotation
Vigun11g067700,S-locus lectin protein kinase family protein
Vigun07g027000,myb-like HTH transcriptional regulator family protein
Vigun03g450200,FAD/NAD(P)-binding oxidoreductase family protein
Vigun02g177900,no annotation
Vigun06g196400,vascular plant one zinc finger protein
Vigun06g101400,no annotation
Vigun03g005600,PEBP (phosphatidylethanolamine-binding protein) family protein
Vigun02g187800,Transducin family protein / WD-40 repeat family protein
Vigun05g211600,RAB GTPase homolog A1F
Vigun07g292500,glucan synthase-like 12
Vigun01g166800,Eukaryotic release factor 1 (eRF1) family protein
Vigun06g060600,multidrug resistance-associated protein 3
Vigun08g179600,trigalactosyldiacylglycerol2
Vigun03g014900,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun01g159200,RING/U-box superfamily protein
Vigun02g016300,Pentatricopeptide repeat (PPR-like) superfamily protein
Vigun03g315000,Protein kinase superfamily protein
Vigun01g023100,no annotation
Vigun05g102300,GroES-like zinc-binding dehydrogenase family protein
Vigun04g102100,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun09g082200,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun02g095700,LRR and NB-ARC domains-containing disease resistance protein
Vigun07g142600,nine-cis-epoxycarotenoid dioxygenase 5
Vigun04g038100,no annotation
Vigun09g130600,dual specificity protein phosphatase (DsPTP1) family protein
Vigun06g095000,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun03g116600,PLAC8 family protein
Vigun07g134700,phytochrome interacting factor 3
Vigun04g073900,TRICHOME BIREFRINGENCE-LIKE 19
Vigun09g158400,no annotation
Vigun03g421200,multifunctional protein 2
Vigun03g321500,tryptophan aminotransferase related 2
Vigun07g106500,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun07g063600,PLATZ transcription factor family protein
VigunL045900,ribosomal protein S8
Vigun09g009700,MLP-like protein 423
Vigun03g204900,Remorin family protein
Vigun04g162900,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Vigun07g146900,Domain of unknown function (DUF1995)
Vigun09g030900,no annotation
Vigun10g094700,alpha-L-arabinofuranosidase 1
VigunL006000,cleavage and polyadenylation specificity factor 73 kDa subunit-II
Vigun10g143500,Auxin-responsive GH3 family protein
Vigun09g101000,no annotation
VigunL016500,photosynthetic electron transfer A
Vigun09g122200,RmlC-like cupins superfamily protein
Vigun03g405100,WRKY family transcription factor
Vigun04g008800,no annotation
Vigun06g091200,heat shock protein 70
Vigun01g215100,myb domain protein 20
Vigun08g124300,UDP-Glycosyltransferase superfamily protein
Vigun01g189900,no annotation
Vigun06g018700,no annotation
Vigun09g124800,RING/FYVE/PHD zinc finger superfamily protein
Vigun07g270400,no annotation
Vigun02g001300,BUB1-related (BUB1: budding uninhibited by benzymidazol 1)
Vigun05g010600,RING/FYVE/PHD zinc finger superfamily protein
Vigun03g172500,Pentatricopeptide repeat (PPR) superfamily protein
Vigun04g040500,no annotation
Vigun03g004200,Calcium-binding EF-hand family protein
Vigun09g249600,Integrase-type DNA-binding superfamily protein
Vigun03g343500,AGAMOUS-like 8
Vigun10g198900,Reticulon family protein
Vigun09g113100,Protein kinase superfamily protein
Vigun08g004400,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun05g216600,Regulator of Vps4 activity in the MVB pathway protein
Vigun07g230300,Glucose-methanol-choline (GMC) oxidoreductase family protein
Vigun01g178900,Eukaryotic aspartyl protease family protein
Vigun10g124100,CCCH-type zinc finger family protein
Vigun09g217000,Peroxidase superfamily protein
Vigun05g258100,Protein of unknown function (DUF3741)
Vigun02g163800,Integrase-type DNA-binding superfamily protein
Vigun08g141600,Endomembrane protein 70 protein family
Vigun01g245300,Acid phosphatase/vanadium-dependent haloperoxidase-related protein
Vigun03g241100,response regulator 3
Vigun09g251200,Leucine-rich receptor-like protein kinase family protein
Vigun10g192600,Sterile alpha motif (SAM) domain-containing protein
Vigun06g069200,no annotation
Vigun03g076000,no annotation
Vigun02g124300,vascular related NAC-domain protein 1
Vigun05g206300,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun05g250100,syntaxin of plants 71
Vigun11g090300,SAUR-like auxin-responsive protein family 
VigunL007000,ribulose-bisphosphate carboxylases
Vigun10g039100,Disease resistance protein (TIR-NBS-LRR class) family
Vigun02g063200,NAD(P)-linked oxidoreductase superfamily protein
Vigun01g208300,Photosystem II reaction center PsbP family protein
Vigun08g205600,receptor like protein 6
Vigun09g111700,FRIGIDA-like protein
Vigun02g005400,"cytochrome P450, family 707, subfamily A, polypeptide 2"
Vigun11g072300,no annotation
Vigun01g140700,zinc finger protein 11
Vigun03g336600,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun04g076500,"Quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor"
Vigun04g081500,Cysteine proteinases superfamily protein
Vigun07g032600,polygalacturonase abscission zone A. thaliana
Vigun07g071400,no annotation
Vigun11g047500,NHL domain-containing protein
Vigun11g081800,no annotation
VigunL015700,Ycf1 protein
Vigun09g192500,Integrase-type DNA-binding superfamily protein
Vigun03g404500,Pectinacetylesterase family protein
Vigun09g166600,lysm domain GPI-anchored protein 1 precursor
Vigun03g221300,Protein kinase superfamily protein
Vigun04g042000,Protein of unknown function (DUF761)
Vigun03g302600,C2H2-like zinc finger protein
Vigun05g237000,WIP domain protein 3
Vigun01g110900,no annotation
Vigun03g064400,TRICHOME BIREFRINGENCE-LIKE 7
Vigun03g289200,no annotation
Vigun03g309500,myb domain protein 85
Vigun03g230100,"Protein-tyrosine phosphatase-like, PTPLA"
Vigun01g030900,AUTOPHAGY 6
Vigun01g135200,ARM repeat superfamily protein
Vigun09g020100,cellulose synthase A4
Vigun08g150000,Eukaryotic aspartyl protease family protein
Vigun05g044700,receptor like protein 7
Vigun08g175900,ubiquitin-specific protease 12
Vigun03g163600,1-amino-cyclopropane-1-carboxylate synthase 7
Vigun01g038700,Protein of unknown function (DUF3411)
Vigun05g170300,interactor of constitutive active rops 1
Vigun11g144400,FASCICLIN-like arabinogalactan-protein 11
Vigun03g143400,FAD-binding Berberine family protein
Vigun03g152800,cellulose synthase A4
Vigun08g194400,"cytochrome P450, family 718"
Vigun09g155700,TRICHOME BIREFRINGENCE-LIKE 7
Vigun03g440800,ARM repeat superfamily protein
Vigun09g066800,"Protein of unknown function, DUF593"
Vigun02g124600,ATP binding microtubule motor family protein
Vigun06g156300,EPS15 homology domain 2
Vigun07g005600,no annotation
Vigun01g158200,Seven transmembrane MLO family protein
Vigun04g024100,Calmodulin binding protein-like
Vigun07g196500,ABC-2 type transporter family protein
Vigun11g018800,microtubule-associated protein 65-5
Vigun05g014300,RNA-binding (RRM/RBD/RNP motifs) family protein
Vigun07g143000,phloem protein 2-B15
Vigun07g246700,cysteine-rich RLK (RECEPTOR-like protein kinase) 25
Vigun10g009800,ribosomal protein L4
Vigun01g072900,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun07g149500,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun09g121800,Eukaryotic aspartyl protease family protein
Vigun05g152200,Exonuclease family protein
Vigun01g045300,BTB/POZ domain with WD40/YVTN repeat-like protein
Vigun10g114200,ataurora3
Vigun08g211400,oligopeptide transporter 1
Vigun01g099900,no annotation
Vigun11g175900,RAD-like 6
Vigun03g095600,ATP binding;GTP binding;nucleotide binding;nucleoside-triphosphatases
Vigun01g009100,RNI-like superfamily protein
VigunL039500,ribosomal protein L32
Vigun01g067800,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun07g016600,SAUR-like auxin-responsive protein family 
Vigun05g018700,Leucine-rich receptor-like protein kinase family protein
Vigun09g095800,RING domain ligase2
Vigun07g026700,no annotation
Vigun04g137200,disease resistance family protein / LRR family protein
Vigun01g157100,no annotation
Vigun10g123900,NAD(P)-binding Rossmann-fold superfamily protein
Vigun04g026200,Reticulon family protein
Vigun02g055000,Amino acid kinase family protein
Vigun09g065000,pentatricopeptide (PPR) repeat-containing protein
Vigun04g171400,methyltransferase 1
Vigun02g098800,no annotation
Vigun07g096700,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun08g008500,SAUR-like auxin-responsive protein family 
Vigun02g065700,homeobox protein 54
Vigun03g064200,cell wall / vacuolar inhibitor of fructosidase 2
Vigun01g021600,C2H2-type zinc finger family protein
Vigun09g184700,no annotation
Vigun08g039200,Thioredoxin superfamily protein
Vigun03g291100,Leucine-rich receptor-like protein kinase family protein
Vigun11g000300,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun05g201400,receptor kinase 3
Vigun03g083800,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
Vigun09g225700,PYR1-like 2
Vigun06g005800,Rubisco methyltransferase family protein
Vigun09g131900,potassium transporter 2
Vigun08g189200,no annotation
Vigun03g233600,SOUL heme-binding family protein
Vigun02g114700,Polynucleotide adenylyltransferase family protein
Vigun10g055300,receptor like protein 7
Vigun05g193900,Protein of unknown function (DUF2921)
Vigun10g068400,no annotation
Vigun04g124100,Plant protein of unknown function (DUF247)
Vigun10g083500,APRATAXIN-like
Vigun03g164800,Amidase family protein
Vigun02g130500,ARM repeat superfamily protein
Vigun01g072400,Major facilitator superfamily protein
Vigun05g151900,Protein of unknown function (DUF1645)
Vigun02g085400,Xanthine/uracil permease family protein
Vigun09g257100,Major facilitator superfamily protein
Vigun05g153900,F-box and associated interaction domains-containing protein
Vigun08g221700,AAA-type ATPase family protein
Vigun06g228100,no annotation
Vigun05g186100,tetratricopetide-repeat thioredoxin-like 1
Vigun05g068800,RNI-like superfamily protein
Vigun08g172200,Ankyrin repeat family protein
Vigun07g122900,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Vigun03g094000,nitrate transporter 1:2
Vigun05g238800,Stress responsive A/B Barrel Domain
Vigun03g291300,hexokinase-like 3
Vigun04g137500,disease resistance family protein / LRR family protein
Vigun03g173200,PHYTOCYSTATIN 2
Vigun01g217000,no annotation
Vigun07g188500,Disease resistance protein (CC-NBS-LRR class) family
Vigun09g032400,Homeobox-leucine zipper protein family
Vigun05g288000,RING/U-box superfamily protein
Vigun11g133700,RING/U-box superfamily protein
Vigun07g204400,IQ-domain 2
Vigun07g042400,no annotation
Vigun03g361800,ubiquitin-specific protease 22
Vigun02g087700,Concanavalin A-like lectin protein kinase family protein
Vigun02g002500,no annotation
Vigun04g005100,Leucine-rich repeat (LRR) family protein
Vigun03g186900,"cytochrome P450, family 707, subfamily A, polypeptide 4"
Vigun09g137000,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2"
Vigun02g193200,no annotation
Vigun11g146000,"Preprotein translocase Sec, Sec61-beta subunit protein"
Vigun08g140200,sucrose synthase 6
Vigun08g162900,LOB domain-containing protein 21
Vigun10g057900,metallothionein 2A
Vigun02g177000,no annotation
Vigun10g166600,SNF7 family protein
Vigun05g194000,Protein of unknown function (DUF2921)
Vigun11g111000,no annotation
Vigun04g091900,phosphoglycerate kinase 1
Vigun04g192500,NB-ARC domain-containing disease resistance protein
Vigun09g188300,amino acid permease 6
Vigun06g100400,Heavy metal transport/detoxification superfamily protein 
Vigun03g324200,Dof-type zinc finger DNA-binding family protein
Vigun07g291900,Protein phosphatase 2C family protein
Vigun08g029900,no annotation
Vigun05g037500,O-methyltransferase 1
Vigun04g154300,Myosin heavy chain-related protein
Vigun10g030300,asparaginyl-tRNA synthetase 2
Vigun09g023200,Ankyrin repeat family protein
Vigun01g237600,no annotation
Vigun02g140100,methyl esterase 10
Vigun01g052100,no annotation
Vigun02g100800,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun06g047900,no annotation
VigunL067400,no annotation
Vigun03g395700,BREVIS RADIX-like 4
Vigun05g084800,alpha-galactosidase 1
Vigun03g126900,no annotation
Vigun01g235900,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Vigun11g073700,terpene synthase 21
Vigun02g182700,no annotation
Vigun01g136100,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Vigun03g033900,Methylenetetrahydrofolate reductase family protein
Vigun04g127400,Protein of unknown function (DUF3511)
Vigun05g156100,F-box and associated interaction domains-containing protein
Vigun09g254000,RING/U-box superfamily protein
Vigun10g162500,no annotation
Vigun03g407300,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun08g006200,no annotation
Vigun04g155700,disease resistance family protein / LRR family protein
Vigun03g024200,Protein of unknown function (DUF810)
Vigun07g187100,Glutaredoxin family protein
Vigun07g081400,no annotation
Vigun04g123300,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun05g017500,adenylate cyclases
Vigun04g109700,Aquaporin-like superfamily protein
Vigun07g179400,no annotation
Vigun10g113400,EF hand calcium-binding protein family
Vigun11g001200,organic cation/carnitine transporter 3
Vigun08g106600,no annotation
Vigun07g245800,cysteine-rich RLK (RECEPTOR-like protein kinase) 25
Vigun03g180300,no annotation
Vigun08g220800,no annotation
Vigun07g294400,receptor-like protein kinase 1
Vigun02g149600,acyl-CoA-binding domain 3
Vigun09g086500,Dof-type zinc finger DNA-binding family protein
VigunL044200,photosynthetic electron transfer A
Vigun05g129800,Ribosomal protein S7p/S5e family protein
Vigun05g143500,no annotation
Vigun06g165700,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
VigunL015000,GTP-binding family protein
Vigun04g144200,UDP-glucosyl transferase 88A1
Vigun11g062400,no annotation
Vigun05g196100,Aluminium induced protein with YGL and LRDR motifs
Vigun05g202000,no annotation
Vigun03g233400,"Nucleic acid-binding, OB-fold-like protein"
Vigun02g163000,nudix hydrolase homolog 8
Vigun06g194300,nudix hydrolase homolog 15
Vigun06g171700,methionine sulfoxide reductase B5
Vigun10g135000,Protein of unknown function (DUF674)
Vigun02g075100,nodulin MtN21 /EamA-like transporter family protein
Vigun01g215500,high mobility group A
Vigun08g153600,Subtilisin-like serine endopeptidase family protein
Vigun01g182800,ABC-2 type transporter family protein
Vigun01g043600,DNA-binding bromodomain-containing protein
Vigun06g078700,ZIP metal ion transporter family
Vigun05g045700,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Vigun02g140800,sucrose nonfermenting 1(SNF1)-related protein kinase 2.3
Vigun01g214000,carbon-sulfur lyases
Vigun08g069500,DNAJ heat shock N-terminal domain-containing protein
Vigun04g076000,no annotation
Vigun08g180100,DnaJ/Hsp40 cysteine-rich domain superfamily protein
VigunL007100,chloroplast ribosomal protein S4
Vigun03g082600,no annotation
Vigun01g006200,WRKY DNA-binding protein 2
Vigun03g445400,endonuclease/exonuclease/phosphatase family protein
Vigun08g099500,Major facilitator superfamily protein
Vigun03g221400,no annotation
Vigun07g056600,Pentatricopeptide repeat (PPR-like) superfamily protein
Vigun02g096700,"Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3"
Vigun02g151200,ARM repeat superfamily protein
Vigun03g381100,xyloglucan endotransglycosylase 6
Vigun11g224000,shoot gravitropism 2 (SGR2)
